"Site_ID","Site_name","Smithsonian","Country","State","County","FIPS","Lat","Lon","Comment","Narrative","Typical","Color","Marker","Size"
108,"Reid Harbor","45SJ84","USA","WA","San Juan",53055,48.53598,-123.08244,"Carlson 2008:  Reid Harbor is on Stuart Island and was tested in 1977 by Jerry Bailey (1978). Although one foliate---point and no diagnostic artifacts were recovered, nothing inconsistent with the time placement as indicated by the two 14C dates of 2570 ±","Carlson 2008:  Reid Harbor is on Stuart Island and was tested in 1977 by Jerry Bailey (1978). Although one foliate
point and no diagnostic artifacts were recovered, nothing inconsistent with the time placement as indicated by the two 14C dates of 2570 ± 140 and 2785 ± 128 BP was found.",,"lightgrey","o",20.00000
109,"Lime Kiln","45SJ99","USA","WA","San Juan",53055,48.53598,-123.08244,"Carlson 2008:  These sites are on San Juan Island, and were tested by the UW Field School under the direction of---Carroll Burroughs in 1949 and 1951 (Carlson 1954, 1960). The Garrison site has three very similar assemblages and two radiocarbon dates, 158","Carlson 2008:  These sites are on San Juan Island, and were tested by the UW Field School under the direction of
Carroll Burroughs in 1949 and 1951 (Carlson 1954, 1960). The Garrison site has three very similar assemblages and two radiocarbon dates, 1580 ± 60 md 2100 ± 100 BP, that place them in the Marpole phase. The other two sites yielded minimal amounts of chipped stone and belong in the post-1500 BP
San Juan phase.",1461,"lightgrey","o",20.00000
110,"Bliss Landing","EaSe2","Canada","BC","Straight of Georgia",,50.08333,-124.75000,"Carlson 2008: This site is not actually in the islands but on the mainland at the northern end of the Strait of---Georgia. It was tested by Owen Beattie (1972) as part of the SFU Salvage '71 project and has two---components-a Mayne phase component with on","Carlson 2008: This site is not actually in the islands but on the mainland at the northern end of the Strait of
Georgia. It was tested by Owen Beattie (1972) as part of the SFU Salvage '71 project and has two
components-a Mayne phase component with one 14C date of 4000 ± 60 BP (SFU 649) and a late component
of the Gulf of Georgia pattern. Three classifiable projectile points including one of quartz crystal
were associated with the Mayne phase component.",1184,"lightgrey","o",20.00000
111,"Long Harbor","DfRu44","Canada","BC","Gulf Islands",,48.91666,-123.41666,"Carlson 2008:  This site was excavated by David Johnstone (1991) as part of thesis research at SFU. The site yielded---only four points, two unclassifiable, and two from Marpole phase deposits.","Carlson 2008:  This site was excavated by David Johnstone (1991) as part of thesis research at SFU. The site yielded
only four points, two unclassifiable, and two from Marpole phase deposits.",,"lightgrey","o",20.00000
112,"Poets Cove","DeRt4","Canada","BC","Gulf Islands",,48.74999,-123.24999,"Carlson 2008: This site is situated on Bedwell Harbour on South Pender Island, and was investigated by I.R. Wilson---Consultants (2006) between 2002 and 2005. The objective was to salvage as much information as possible by screening about 2500 m3 of cultu","Carlson 2008: This site is situated on Bedwell Harbour on South Pender Island, and was investigated by I.R. Wilson
Consultants (2006) between 2002 and 2005. The objective was to salvage as much information as possible by screening about 2500 m3 of cultural deposits that had already been completely disturbed and left as three large piles of midden debris. Radiocarbon dates range from 600 ± 80 BP to 2920 ± 15 to 4030±70 BPThis site is situated on Bedwell Harbour on South Pender Island, and was investigated by I.R. Wilson Consultants (2006) between 2002 and 2005. The objective was to salvage as much information as possible by screening about 2500 m3 of cultural deposits that had already been completely disturbed and left as three large piles of midden debris. Radiocarbon dates range from 600 ± 80 BP to 2920 ± 15 to Carlson 2008: This site is situated on Bedwell Harbour on South Pender Island, and was investigated by I.R. Wilson Consultants (2006) between 2002 and 2005. The objective was to salvage as much information as possible by screening about 2500 m3 of cultural deposits that had already been completely disturbed
and left as three large piles of midden debris. Radiocarbon dates range from 600 ± 80 BP to 2920 ± 15 to 4030±70 BP.",,"lightgrey","o",20.00000
113,"Pender Canal 1","DeRt1","Canada","BC","Gulf Islands",,48.74999,-123.24999,"Carlson 2008: These two sites, sometimes referred to as the Canal Site, are situated at the south end of North Pender---Island, and were partly destroyed by a ship canal dug between North and South Pender in 1911. DeRt-2 was first tested by Wilson Duff an","Carlson 2008: These two sites, sometimes referred to as the Canal Site, are situated at the south end of North Pender
Island, and were partly destroyed by a ship canal dug between North and South Pender in 1911. DeRt-2 was first tested by Wilson Duff and Michael Kew in 1958 for the British Columbia Provincial Museum (BCPM), and DeRt-1 by John McMurdo for SFU in 1971. Later both sites were extensively excavated during 1984-86 by a joint salvage project between the provincial government Heritage Conservation Branch and the SFU Department of Archaeology directed by Roy Carlson (Carlson and Hohler 1993). DeRt-2 is primarily a burial site, is the older of the two with Mayne and Locarno Beach components that date between 5200 and 2500 BP, and a smattering of younger remains sometimes mixed with the older material in the Late Midden deposit, whereas DeRt-1 is a camp site with occupation spanning
the Locarno Beach, Marpole and San Juan phases from 2400 BP to late precontact. Some of the projectile points from Pender DeRt-2 are illustrated in Figure 20.",,"lightgrey","o",20.00000
114,"Gulf and San Juan Islands","45SJ","USA","WA","San Juan",53055,48.53598,-123.08244,"Referenced in Carlson 2008 without specific site",,,"lightgrey","o",20.00000
115,"Windust Caves","45FR46","USA","WA","Franklin",,46.53297,-118.89810,"Rice 1972:  The Windust Caves archaeological site is located on the north bank of the Snake River in the Lower Monumental District (Fig. 2). The site consists of nine caves scattered along an intermittent cliff face 1900 feet in length. The best preserved","Rice 1972:  The Windust Caves archaeological site is located on the north bank of the Snake River in the Lower Monumental District (Fig. 2). The site consists of nine caves scattered along an intermittent cliff face 1900 feet in length. The best preserved of these caves, Windust Cave C, identified hereafter as Windust Cave, was excavated by Washington State University summer field crews under the supervision of Richard D. Daugherty between 1959 and 1961. In 1962 the site was inundated by the Ice Harbor Dam reservoir. The site was excavated and reported by H. S . Rice (1965).",,"lightgrey","o",20.00000
116,"Lapwai vicinity",,"USA","ID","Nez Perce",,46.40444,-116.80444,"'Near Lapwai' which is Nez Perce county seat",,539,"lightgrey","o",20.00000
117,"Beaver Flat","10IH871","USA","ID","Idaho",,46.30000,-115.37000,"Sappington 1994:","Sappington 1994:",,"lightgrey","o",20.00000
118,"Five Mile Rapids","35WS4","USA","OR","Wa",,45.63000,-121.18000,"Rice 1972:  The Five Mile Rapids site is located along the Columbia River at the western margin of the Plateau near the present town of The Dalles, Oregon. The site was excavated by the University of Oregon under the direction of L. S. Cressman and the fi","Rice 1972:  The Five Mile Rapids site is located along the Columbia River at the western margin of the Plateau near the present town of The Dalles, Oregon. The site was excavated by the University of Oregon under the direction of L. S. Cressman and the finds are reported by Cressman and others (1960). Components similar to the Windust Phase assemblage were obtained from Strata I and II. These strata include the Initial Early and Full Early cultural stages identified at the site.",,"lightgrey","o",20.00000
119,"Goldendale",,"USA","WA","Klickitat",,45.80000,-120.80000,"Rice 1972:  The Goldendale site is located a short distance north of the Columbia Ridge near Rock Creek in Washington state. The site was excavated by the University of Washington under the supervision---of Douglas Osborne and the finds are reported by Wa","Rice 1972:  The Goldendale site is located a short distance north of the Columbia Ridge near Rock Creek in Washington state. The site was excavated by the University of Washington under the supervision
of Douglas Osborne and the finds are reported by Warren, Bryan, and Tuohy (1 963) . The artifacts recovered show close similarity to the Windust Phase assemblage.",,"lightgrey","o",20.00000
120,"Wildcat Canyon","35GM9","USA","OR","Sherman",,45.39906,-120.68837,"Rice 1972:  The Wildcat Canyon site is located on the south bank of the Columbia River a few miles east of the mouth of the John Day River. The site was excavated by the University of Oregon under the direction of David L. Cole and the finds are reported ","Rice 1972:  The Wildcat Canyon site is located on the south bank of the Columbia River a few miles east of the mouth of the John Day River. The site was excavated by the University of Oregon under the direction of David L. Cole and the finds are reported in a series of interim reports by Cole (1965, 1967, 1968 ). The Wildcat Canyon site is an extremely complex open site containing multiple
occupations ranging from greater than 10,000 years ago to recent times. Excavations in Areas 5 and 6 at Wildcat Canyon have revealed assemblages similar in content and age to the Windust Phase assemblage.",,"lightgrey","o",20.00000
121,"Lenore","10NP105","USA","ID","Nez Perce",,46.50300,-116.51300,"Rice 1972:  The Lenore site is located on the south bank of the Clearwater River just west of the community of Lenore in north central Idaho. The site was excavated by Idaho State University under the direction of Earl H. Swanson, Jr., and the finds are r","Rice 1972:  The Lenore site is located on the south bank of the Clearwater River just west of the community of Lenore in north central Idaho. The site was excavated by Idaho State University under the direction of Earl H. Swanson, Jr., and the finds are reported by Toups (1969).",,"lightgrey","o",20.00000
123,"St. Mungo","DgRr2","Canada","BC","Vancouver",,49.08333,-122.91666,"McLaren 2008:  Hamm, 1982; Calvert 1969","McLaren 2008:  Hamm, 1982; Calvert 1969",,"lightgrey","o",20.00000
124,"Glenrose Cannery","DgRr6","Canada","BC","Mainland BC",,49.08333,-122.91666,"McLaren 2008:  Matson 1976","McLaren 2008:  Matson 1976",,"lightgrey","o",20.00000
125,"Pitt River","DhRq21","Canada","BC","Mainland BC",,49.24999,-122.75000,"McLaren 2008:  Patenaude 1985","McLaren 2008:  Patenaude 1985",,"lightgrey","o",20.00000
126,"Telep","DhRp35","Canada","BC","Mainland BC",,49.24999,-122.58333,"McLaren 2008:  Peacock 1982","McLaren 2008:  Peacock 1982",,"lightgrey","o",20.00000
127,"Hatzic Rock","DgRn23","Canada","BC","Mainland BC",,49.08333,-122.25000,"McLaren 2008:  Mason 1984","McLaren 2008:  Mason 1984",,"lightgrey","o",20.00000
128,"Katz","DiRj1","Canada","BC","Hope",,49.41666,-121.41666,"McLaren 2008:  Hanson 1970","McLaren 2008:  Hanson 1970",,"lightgrey","o",20.00000
129,"Hope Highway","DiRi14","Canada","BC","Mainland BC",,49.41666,-121.41666,"McLaren 2008:  Eldridge 1982","McLaren 2008:  Eldridge 1982",,"lightgrey","o",20.00000
130,"Chase locality",,"Canada","BC","Kamloops",,50.82000,-119.70000,"Rousseau 2008: Chase Museum collections","Rousseau 2008: Chase Museum collections",,"lightgrey","o",20.00000
131,"EdRa1","EdRa1","Canada","BC","Kamloops",,50.58333,-120.08333,"Rousseau 2008:","Rousseau 2008:",,"lightgrey","o",20.00000
132,"Thompson River, South locality",,"Canada","BC","Hope",,50.66000,-120.05000,"Rousseau 2008:","Rousseau 2008:",,"lightgrey","o",20.00000
133,"Shuswap Lake locality",,"Canada","BC","Kamloops",,50.95000,-119.26000,"Rousseau 2008:","Rousseau 2008:",,"lightgrey","o",20.00000
134,"Bridge Lake locality",,"Canada","BC","Kamloops",,51.90000,-120.73000,"Rousseau 2008:","Rousseau 2008:",,"lightgrey","o",20.00000
135,"Lytton locality",,"Canada","BC","Kamloops",,50.24500,-121.58000,"Rousseau 2008:","Rousseau 2008:",935,"lightgrey","o",20.00000
136,"Cache Creek locality",,"Canada","BC","Kamloops",,50.80000,-121.30000,"Rousseau 2008:","Rousseau 2008:",,"lightgrey","o",20.00000
137,"Lillooet locality",,"Canada","BC","Kamloops",,50.70000,-121.95000,"Rousseau 2008:","Rousseau 2008:",,"lightgrey","o",20.00000
138,"Skahaa Lake locality",,"Canada","BC","Penticton",,49.45000,-119.60000,"Rousseau 2008:","Rousseau 2008:",,"lightgrey","o",20.00000
139,"Kamloops locality",,"Canada","BC","Kamloops",,50.70000,-120.40000,"Rousseau 2008:","Rousseau 2008:",944,"lightgrey","o",20.00000
140,"Clinton locality",,"Canada","BC","Kamloops",,51.10000,-121.60000,"Rousseau 2008:","Rousseau 2008:",937,"lightgrey","o",20.00000
141,"Pavilion locality",,"Canada","BC","Kamloops",,50.85000,-121.87000,"Rousseau 2008:","Rousseau 2008:",941,"lightgrey","o",20.00000
142,"EdRk8","EdRk8","Canada","BC","Kamloops",,50.58333,-121.75000,"Rousseau 2008:","Rousseau 2008:",,"lightgrey","o",20.00000
143,"Texas Creek (BC)","EdRk8","Canada","BC","Kamloops",,50.70000,-121.30000,"Rousseau 2008:","Rousseau 2008:",942,"lightgrey","o",20.00000
144,"Dragon Lake","EfRo10","Canada","BC","Kamloops",,51.55000,-120.44000,"Rousseau 2008:","Rousseau 2008:",943,"lightgrey","o",20.00000
145,"Central Canadian Plateau area",,"Canada","BC","Kamloops",,50.70000,-120.80000,"Rousseau 2008:","Rousseau 2008:",,"lightgrey","o",20.00000
146,"Mid-Frasier and Thompson River area",,"Canada","BC","Kamloops",,50.70000,-121.30000,"Rousseau 2008: 'Most are from the Mid Frasier and Thompson River regions, although these biface are found throughout the Canadian Plateau in all altitudes and environmental contexts.""","Rousseau 2008: 'Most are from the Mid Frasier and Thompson River regions, although these biface are found throughout the Canadian Plateau in all altitudes and environmental contexts.""",,"lightgrey","o",20.00000
147,"Nechako-Fraser","FlRq13","Canada","BC"," Prince George",,53.91666,-122.75000,"Burford 2008:","Burford 2008:",,"lightgrey","o",20.00000
148,"Stoddard Creek",,"USA","ID","Custer",,45.23450,-114.67300,"Rock art wall at Stoddard Creek camp, Middle Fork Salmon River",,1436,"lightgrey","o",20.00000
149,"Harper Collection (Comanche)",,"USA","TX","Comanche",,31.95138,-98.55951,"Dana Harper Collection (Private Collection)",,1261,"lightgrey","o",20.00000
150,"Hoyt","35HA2422","USA","OR","Harney",,43.05989,-118.96301,"Hoyt Site",,,"lightgrey","o",20.00000
151,"Fenn cache",,"USA","Multiple","Multiple",,41.10000,-110.90000,"Fenn Cache (Private Collection) - #107  in Utah, Idaho, Wyoming",,,"lightgrey","o",20.00000
152,"Dugaway Nowickie",,"USA","UT","Tooele",,40.45026,-113.12504,"Nowickie Collection (Private Collection) - Found on Dugaway Proving Grounds Military Base",,1264,"lightgrey","o",20.00000
153,"Bill German Collection (Tyler)",,"USA","TX","Tyler",,30.77044,-94.37593,"Bill German Collection (Private Collection)",,1265,"lightgrey","o",20.00000
154,"Bill German Collection (Lampassas)",,"USA","TX","Lampassas",,31.20017,-98.24391,"Bill German Collection (Private Collection)",,1291,"lightgrey","o",20.00000
155,"Harper Collection (S. Texas)",,"USA","TX","Multiple",,29.00000,-98.00000,"Dana Harper Collection (Private Collection)- South Texas",,1266,"lightgrey","o",20.00000
156,"Cascade Reservoir",,"USA","ID","Valley",,44.75774,-115.56207,"Surface Find - Cascade Reservoir",,1267,"lightgrey","o",20.00000
157,,,,,,,,,,,,"lightgrey","o",20.00000
158,"Bill German Collection (Montgomery)",,"USA","TX","Montgomery",,30.30417,-95.50302,"Bill German Collection (Private Collection)",,1269,"lightgrey","o",20.00000
159,"Lange-Ferguson","39SH33","USA","SD","Shannon",,43.33191,-102.55576,"Lange-Ferguson",,,"lightgrey","o",20.00000
160,"Greg Nunn (Private Collection)",,"USA","UT","Unknown",,40.00000,-112.00000,"Greg Nunn (Private Collection)",,1272,"lightgrey","o",20.00000
161,"Gault","41BL323","USA","TX","Bell",,31.04559,-97.48227,"Gault",,12071,"lightgrey","o",20.00000
162,"Roosevelt (NM)",,"USA","NM","Roosevelt",,34.01996,-103.46558,"#34 , Unable to verify if from Blackwater Draw",,1274,"lightgrey","o",20.00000
163,"Richey/Roberts","45DO432","USA","WA","Douglas",,47.73661,-119.68566,"East Wenatchee Cache",,1275,"lightgrey","o",20.00000
164,"Rutz Collection",,"USA","WA","Douglas",,47.73661,-119.68566,"Rutz Collection (Private Collection)",,1276,"lightgrey","o",20.00000
165,"Estergreen Collection",,"USA","OR","Lake",,43.13500,-119.96400,"Estergreen Collection (Private Collection) - Near Dietz Site",,1277,"lightgrey","o",20.00000
166,"Harper Collection (Sabine)",,"USA","TX","Sabine",,31.34789,-93.85124,"Dana Harper Collection (Private Collection)",,1278,"lightgrey","o",20.00000
167,"Woodbury-isolated",,"USA","IA","Woodbury",,42.39109,-96.05100,"Isolated find",,1279,"lightgrey","o",20.00000
168,"Domebo","34CD50","USA","OK","Caddo",,35.17688,-98.37100,"Domebo",,1280,"lightgrey","o",20.00000
169,"Scott Collection",,"USA","IA","Linn",,42.07503,-91.60245,"Scott Collection (Private Collection)",,1282,"lightgrey","o",20.00000
170,"Kimmswick","23JE02","USA","MO","Jefferson",,38.26247,-90.53832,"Kimmswick",,,"lightgrey","o",20.00000
171,"Butler, MO",,"USA","MO","Butler",,36.71341,-90.41143,"Butler, MO",,1284,"lightgrey","o",20.00000
172,"Colby","48WA322","USA","WY","Washakie",,43.90339,-107.68654,"Colby",,,"lightgrey","o",20.00000
173,"Lilljedahl Collection",,"USA","TX","Llano",,30.70986,-98.68109,"Rusty Lilljedahl Collection (Private Collection)",,1288,"lightgrey","o",20.00000
174,"Harper Collection (TX-LA)",,"USA","TX","Multiple",,31.60000,-93.80000,"Dana Harper Collection (Private Collection) (Texas - Louisiana)",,1289,"lightgrey","o",20.00000
175,"Rogers Collection",,"USA","TX","McLennan",,31.55809,-97.20130,"Dwain Rogers Collection (Private Collection)",,1292,"lightgrey","o",20.00000
176,"Boulder Creek South","10IH799","USA","ID","Idaho",,46.34000,-115.31000,"Sappington 1994:","Sappington 1994:",,"lightgrey","o",20.00000
177,"Arrow Beach","10NP105","USA","ID","Nez Perce",,46.45000,-116.80000,"Sappington 1994:","Sappington 1994:",,"lightgrey","o",20.00000
178,"Palus","45FR36","USA","WA","Franklin",,46.53297,-118.89810,,,,"lightgrey","o",20.00000
179,"Wexpu'snime","45WT61","USA","WA","Whitman",,46.89780,-117.52301,,,,"lightgrey","o",20.00000
180,"Alpowa Locality/Timothy's Village","45AS82","USA","WA","Asotin",,45.40000,-117.30000,,,,"lightgrey","o",20.00000
181,"Wawawai","45WT39","USA","WA","Whitman",,46.89780,-117.52301,,,,"lightgrey","o",20.00000
182,"Spalding","10NP109","USA","ID","Nez Perce",,46.38500,-116.79400,"Near Lapwai  Card C14",,,"lightgrey","o",20.00000
183,"Fort Lapwai","10NP285","USA","ID","Nez Perce",,46.39300,-116.80300,,,,"lightgrey","o",20.00000
184,"East Fork Lookout","10CR358","USA","ID","Custer",,44.15000,-114.42000,"Butler 1978","Butler 1978",,"lightgrey","o",20.00000
185,"Canoe Camp","10CW25","USA","ID","Clearwater",,46.66537,-115.65712,"opposite Ahsahka (Lewisand Clark camp 1805)",,,"lightgrey","o",20.00000
186,"Bruce's Eddy","10CW1","USA","ID","Clearwater",,46.66537,-115.65712,"North Fork / Dworshak Reservoir",,,"lightgrey","o",20.00000
187,"Indian Creek (Clearwater)","10CW38","USA","ID","Clearwater",,46.66537,-115.65712,"North Fork / Dworshak Reservoir",,,"lightgrey","o",20.00000
188,"Ash (Clearwater)","10CW39","USA","ID","Clearwater",,46.66537,-115.65712,"North Fork / Dworshak Reservoir",,,"lightgrey","o",20.00000
189,"Elk Creek (Clearwater)","10CW41","USA","ID","Clearwater",,46.66537,-115.65712,"North Fork / Dworshak Reservoir",,,"lightgrey","o",20.00000
190,"Big Spring (Clearwater)","10CW43","USA","ID","Clearwater",,46.66537,-115.65712,"North Fork / Dworshak Reservoir",,,"lightgrey","o",20.00000
191,"Swamp Creek","10CW225","USA","ID","Clearwater",,46.56000,-116.29400,"North Fork / Dworshak Reservoir",,,"lightgrey","o",20.00000
192,"Upper Terrace (Clearwater)","10CW226","USA","ID","Clearwater",,46.66537,-115.65712,"North Fork / Dworshak Reservoir",,,"lightgrey","o",20.00000
193,"Little North Fork","10CW20","USA","ID","Clearwater",,46.66537,-115.65712,"North Fork / Dworshak Reservoir",,,"lightgrey","o",20.00000
194,"Six Mile Creek","10LE38","USA","ID","Lewis",,46.23152,-116.42258,,,,"lightgrey","o",20.00000
195,"East Kamiah","10IH867","USA","ID","Idaho",,46.19300,-116.00000,"on South Fork Clearwater",,,"lightgrey","o",20.00000
196,"Waterline Trench","10IH1948","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
197,"Kilggi Gwaay","1325T","Canada","BC","Haida Gwaii",,52.15250,-131.10170,"Fedje 2011","Fedje 2011",,"lightgrey","o",20.00000
198,"Kooskia Fish Hatchery","10IH820","USA","ID","Idaho",,45.83513,-115.46639,"Middle Fork above Kooskia",,,"lightgrey","o",20.00000
199,"Tuhkaytahs'peh","10IH1009","USA","ID","Idaho",,45.83513,-115.46639,"Middle Fork above Kooskia",,,"lightgrey","o",20.00000
200,"Pete King Creek","10IH453","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
201,"Western Beringia",,"Russia","Ru",,,63.00000,-155.00000,"Slobodin 2011:","Slobodin 2011:",,"lightgrey","o",20.00000
203,"Moose Creek","AKFAI206","USA","AK","Fairbanks-Northstar",,67.73195,-147.46948,"Powers and Hoffecker 1989  Card C14","Powers and Hoffecker 1989  Card C14",,"lightgrey","o",20.00000
204,"Dry Creek (AK)","AKHEA005","USA","AK","Denali",,63.85640,-149.13940,"Powers and Hoffecker 1989  Card C14","Powers and Hoffecker 1989  Card C14",,"lightgrey","o",20.00000
205,"Healy Lake (AK)","AKXBD020","USA","AK","Southeast Fairbanks",,64.24519,-145.21694,"Powers and Hoffecker 1989  Card C14","Powers and Hoffecker 1989  Card C14",,"lightgrey","o",20.00000
206,"Nenana Complex","AKFAI","USA","AK","Denali",,63.85640,-149.13940,"Powers and Hoffecker 1989  Card C14","Powers and Hoffecker 1989  Card C14",,"lightgrey","o",20.00000
207,"Haida Gwaii Caves",,"Canada","BC","Haida Gwaii",,52.44000,-131.38000,"K1 Cave, Gaadu Din 1 Cave, Gasadu Din 2 Cave",,,"lightgrey","o",20.00000
208,"Redfish Lake Overhang","10CR201","USA","ID","Custer",,44.14100,-114.91100,"Butler 1978","Butler 1978",,"lightgrey","o",20.00000
209,"Swan Falls","10AA68","USA","ID","Ada",,43.44365,-116.23472,"Card C14",,,"lightgrey","o",20.00000
210,"Dry Creek Rockshelter","10AA68","USA","ID","Ada",,43.44365,-116.23472,"Card C14",,,"lightgrey","o",20.00000
211,"Lydie Gulch","10AA72","USA","ID","Ada",,43.44365,-116.23472,"Card C14",,,"lightgrey","o",20.00000
212,"DeMoss","10AM193","USA","ID","Adams",,44.88511,-116.45297,"Card C14",,,"lightgrey","o",20.00000
214,"Hells Canyon Rock Shelter","35WA","USA","ID","Adams",,44.88511,-116.45297,"Card C14 has '35WA?'",,,"lightgrey","o",20.00000
215,"McGraw Creek","35WA1","USA","ID","Adams",,44.88511,-116.45297,"Card C14 has '35WA1'",,,"lightgrey","o",20.00000
216,"Bobcat Cave","10BM56","USA","ID","Camas",,43.45577,-114.79604,"Card C14",,,"lightgrey","o",20.00000
217,"Quill Cave","10CR197","USA","ID","Custer",,44.23204,-114.27490,"Card C14",,,"lightgrey","o",20.00000
218,"Road Creek Waterhole","10CR60","USA","ID","Custer",,44.23204,-114.27490,"Card C14",,,"lightgrey","o",20.00000
219,"Upper Landing","10IH1017","USA","ID","Idaho",,45.83513,-115.46639,"Card C14",,,"lightgrey","o",20.00000
220,"American Falls Reservoir",,"USA","ID","Bannock",,42.82000,-112.82000,"Butler 1978","Butler 1978",452,"lightgrey","o",20.00000
221,"Lower Pittsburg Landing","101639","USA","ID","Idaho",,45.83513,-115.46639,"Card C14",,,"lightgrey","o",20.00000
222,"Kirkwood Bar","10IH1699","USA","ID","Idaho",,45.83513,-115.46639,"Card C14",,,"lightgrey","o",20.00000
223,"Deep Gully","10IH1892","USA","ID","Idaho",,45.83513,-115.46639,"Card C14",,,"lightgrey","o",20.00000
224,"Bernard Creek Rockshelter","10IH483","USA","ID","Idaho",,45.83513,-115.46639,"Card C14",,,"lightgrey","o",20.00000
225,"Eagle Creek","10IH78","USA","ID","Idaho",,45.83513,-115.46639,"Card C14",,,"lightgrey","o",20.00000
226,"Alpha Rockshelter","10LH44","USA","ID","Lemhi",,44.93370,-113.93154,"Card C14",,,"lightgrey","o",20.00000
227,"Bighorn Shelter","10LH45","USA","ID","Lemhi",,44.93370,-113.93154,"Card C14",,,"lightgrey","o",20.00000
228,"Beta Rockshelter","10LH63","USA","ID","Lemhi",,44.93370,-113.93154,"Card C14",,,"lightgrey","o",20.00000
229,"Wewukiyephuh","10NP336","USA","ID","Nez Perce",,46.31557,-116.75267,"Card C14 ( > 10,000)",,,"lightgrey","o",20.00000
230,"Northern Alkali Lake",,"USA","OR","Lake",,43.06000,-120.00000,"Just south of Dietz Site",,,"lightgrey","o",20.00000
231,"Carbon County Utah",,"USA","UT","Carbon",,39.64105,-110.58061,"Pitblado 2003","Pitblado 2003",,"lightgrey","o",20.00000
232,"Logan County Colorado",,"USA","CO","Logan",,40.72027,-103.10824,"Pitblado 2003","Pitblado 2003",,"lightgrey","o",20.00000
233,"Las Animas County Colorado",,"USA","CO","Las Animas",,37.31346,-104.02600,"Pitblado 2003","Pitblado 2003",,"lightgrey","o",20.00000
234,"Iron Country Utah",,"USA","UT","Iron",,37.85076,-113.28687,"Pitblado 2003","Pitblado 2003",,"lightgrey","o",20.00000
235,"42IN696","42IN696","USA","UT","Iron",,37.85076,-113.28687,"Pitblado 2003","Pitblado 2003",,"lightgrey","o",20.00000
236,"CEUM-602",,"USA","UT","Carbon",,39.64105,-110.58061,"Pitblado 2003","Pitblado 2003",516,"lightgrey","o",20.00000
237,"Bent County Colorado",,"USA","CO","Bent",,37.95063,-103.05664,"Pitblado 2003","Pitblado 2003",519,"lightgrey","o",20.00000
238,"Moffat County Colorado",,"USA","CO","Moffat",,40.61339,-108.20374,"Pitblado 2003","Pitblado 2003",521,"lightgrey","o",20.00000
239,"Cache County Utah",,"USA","UT","Cache",,41.72453,-111.73504,"Pitblado 2003","Pitblado 2003",524,"lightgrey","o",20.00000
240,"Broken Mammoth","49XBD131","USA","AK","Denali",,64.24519,-145.21694,"Powers and Hoffecker 1989","Powers and Hoffecker 1989",689,"lightgrey","o",20.00000
241,"Mesa Site","49KIR102","USA","AK","North Slope",,66.61753,-154.28100,"Northern Brooks Range",,,"lightgrey","o",20.00000
242,"Upper Snake River Group",,"USA","ID","Multiple",,45.00000,-116.00000,"From Butler 1978. Generaized example points may be duplicated elsewhwere.",,,"lightgrey","o",20.00000
243,"Skinner experimental",,"USA","OR","Benton",,44.56408,-123.27733,"Sarah Skinner","Sarah Skinner",,"lightgrey","o",20.00000
244,"Buhl Burial","10TF1019","USA","ID","Twin Falls",,42.35128,-114.65458,"Burial near Buhl ID",,1536,"darkgreen","o",20.00000
245,"Davis experimental",,"USA","OR","Benton",,44.56408,-123.27733,"Loren Davis made these","Loren Davis made these",,"lightgrey","o",20.00000
246,"35MA375 Biface Cache","35MA375","USA","OR","Marion",,44.89929,-122.58971,"Sean Carroll from SHPO",,,"lightgrey","o",20.00000
247,"Chugwater (AK)","AKFAI035","USA","AK","Fairbanks-Northstar",,67.73195,-147.46948,"UAF",,,"lightgrey","o",20.00000
248,"Erodeaway","49HEA239","USA","AK","Denali",,63.85640,-149.13940,"UAF",,,"lightgrey","o",20.00000
249,"MIS215","49MIS215","USA","AK","North Slope",,68.67603,-160.66921,"UAF",,12024,"lightgrey","o",20.00000
250,"Prospect Creek","AKBET041","USA","AK","Yukon-Koyukuk",,66.49519,-151.10012,"UAF",,12028,"lightgrey","o",20.00000
251,"Coleen River","AKCOL000","USA","AK","Yukon-Koyukuk",,67.53954,-141.91005,"UAF",,12020,"lightgrey","o",20.00000
252,"TES012","AKTES012","USA","AK","North Slope",,70.49694,-154.28066,"UAF",,12017,"lightgrey","o",20.00000
253,"Collison Bay","1720T","Canada","BC","Haida Gwaii",,52.28280,-131.14550,,,,"lightgrey","o",20.00000
254,"Gaadu Din 1","1693T","Canada","BC","Haida Gwaii",,52.44350,-131.36030,"Haida Gwaii Caves",,,"lightgrey","o",20.00000
255,"Gaadu Din 2","1906T","Canada","BC","Haida Gwaii",,52.44350,-131.36030,"Haida Gwaii Caves",,12107,"lightgrey","o",20.00000
256,"K1 Cave","FgUc-6","Canada","BC","Haida Gwaii",,52.44350,-131.36030,"Haida Gwaii Caves",,12108,"lightgrey","o",20.00000
257,"Werner Bay","1507T","Canada","BC","Haida Gwaii",,50.10030,-127.16880,"Underwater flake",,12109,"lightgrey","o",20.00000
258,"China Lake NAWS","CA-INY-1799","USA","CA","Inyo",,63.30920,-117.54960,"xls had UTM zone 11  415900E 3990400N meters",,12523,"lightseagreen","o",20.00000
